txn_id,date,amount,currency,counterparty,reference
D01,2026-06-01,500.00,EUR,ORACLE CORP,PO-2001
D02,2026-06-02,10000.00,JPY,SONY GROUP,PO-2002
D03,2026-06-03,25000.00,INR,TATA MOTORS,PO-2003
D04,2026-06-04,800.00,GBP,BURBERRY,PO-2004
D05,2026-06-05,1500.00,USD,APPLE INC,PO-2005
D06,2026-06-06,650.00,CHF,NESTLE,PO-2006
D07,2026-06-07,900.00,CAD,SHOPIFY,PO-2007
D08,2026-06-08,1200.00,AUD,ATLASSIAN,PO-2008
D09,2026-06-09,300.00,USD,GHOST CO,PO-2009
D10,2026-06-10,450.00,USD,PHANTOM LLC,PO-2010
D11,2026-06-11,275.00,USD,VOID INDUSTRIES,PO-2011
D12,2026-06-12,999.00,USD,NOBODY CORP,PO-2012
