txn_id,date,amount,currency,counterparty,reference
B001,2026-03-02,507.33,USD,GLOBEX,INV-4001
B002,2026-03-03,514.66,USD,INITECH,INV-4002
B003,2026-03-04,521.99,USD,WAYNE ENTERPRISES,INV-4003
B005,2026-03-06,536.65,USD,HOOLI,INV-4005
B006,2026-03-07,543.98,USD,WONKA INC,INV-4006
B007,2026-03-08,551.31,USD,UMBRELLA,INV-4007
B008,2026-03-09,558.64,USD,PIED PIPER,INV-4008
B010,2026-03-11,573.30,USD,SOYLENT,INV-4010
B011,2026-03-12,580.63,USD,OSCORP,INV-4011
B012,2026-03-13,587.96,GBP,DUFF BEER,INV-4012
B013,2026-03-14,595.29,USD,MASSIVE DYNAMIC,INV-4013
B015,2026-03-16,609.95,USD,ACME,INV-4015
B016,2026-03-17,617.28,USD,GLOBEX,INV-4016
B017,2026-03-18,624.61,USD,INITECH,INV-4017
B018,2026-03-19,631.94,USD,WAYNE ENTERPRISES,INV-4018
B020,2026-03-21,646.60,USD,HOOLI,INV-4020
B021,2026-03-22,653.93,USD,WONKA INC,INV-4021
B022,2026-03-23,661.26,USD,UMBRELLA,INV-4022
B023,2026-03-24,668.59,USD,PIED PIPER,INV-4023
B025,2026-03-26,683.25,USD,SOYLENT,INV-4025
B026,2026-03-27,690.58,USD,OSCORP,INV-4026
B027,2026-03-28,697.91,USD,DUFF BEER,INV-4027
B028,2026-03-29,705.24,USD,MASSIVE DYNAMIC,INV-4028
B030,2026-03-31,719.90,USD,ACME,INV-4030
B031,2026-04-01,727.23,USD,GLOBEX,INV-4031
B032,2026-04-02,734.56,USD,INITECH,INV-4032
B033,2026-04-03,741.89,USD,WAYNE ENTERPRISES,INV-4033
B035,2026-04-05,756.55,USD,HOOLI,INV-4035
B036,2026-04-06,763.88,USD,WONKA INC,INV-4036
B037,2026-04-07,771.21,USD,UMBRELLA,INV-4037
B038,2026-04-08,778.54,USD,PIED PIPER,INV-4038
B040,2026-04-10,793.20,USD,SOYLENT,INV-4040
B041,2026-04-11,800.53,USD,OSCORP,INV-4041
B042,2026-04-12,807.86,EUR,DUFF BEER,INV-4042
B043,2026-04-13,815.19,USD,MASSIVE DYNAMIC,INV-4043
B045,2026-04-15,829.85,USD,ACME,INV-4045
B046,2026-04-16,837.18,USD,GLOBEX,INV-4046
B047,2026-04-17,844.51,USD,INITECH,INV-4047
B048,2026-04-18,851.84,USD,WAYNE ENTERPRISES,INV-4048
B050,2026-04-20,866.50,USD,HOOLI,INV-4050
B051,2026-04-21,873.83,USD,WONKA INC,INV-4051
B052,2026-04-22,881.16,USD,UMBRELLA,INV-4052
B053,2026-04-23,888.49,USD,PIED PIPER,INV-4053
B055,2026-04-25,903.15,USD,SOYLENT,INV-4055
B056,2026-04-26,910.48,USD,OSCORP,INV-4056
B057,2026-04-27,917.81,USD,DUFF BEER,INV-4057
B058,2026-04-28,925.14,USD,MASSIVE DYNAMIC,INV-4058
B060,2026-04-30,939.80,USD,ACME,INV-4060
B901,2026-04-10,not_a_number,USD,BADCO,INV-9001
B902,2026-04-11,500.00,ZZZ,BADCO,INV-9002
